id,question,expected_documents,retrieved_documents,first_relevant_rank,hit,precision,recall,reciprocal_rank
q01,How much vacation time does a worker receive every year?,leave_policy.pdf|employee_handbook.pdf,employee_handbook.pdf|leave_policy.pdf|leave_policy.pdf|leave_policy.pdf|leave_policy.pdf,1,1.000000,1.000000,1.000000,1.000000
q02,"How many annual leave days can be carried forward, and when do they expire?",leave_policy.pdf,leave_policy.pdf|leave_policy.pdf|leave_policy.pdf|leave_policy.pdf|leave_policy.pdf,1,1.000000,1.000000,1.000000,1.000000
q03,When must an employee provide a medical certificate for sickness?,leave_policy.pdf|employee_handbook.pdf,leave_policy.pdf|employee_handbook.pdf|leave_policy.pdf|employee_handbook.pdf|leave_policy.pdf,1,1.000000,1.000000,1.000000,1.000000
q04,How far in advance should three or more consecutive leave days be requested?,leave_policy.pdf,leave_policy.pdf|leave_policy.pdf|leave_policy.pdf|employee_handbook.pdf|leave_policy.pdf,1,1.000000,0.800000,1.000000,1.000000
q05,What happens to unused annual leave when an employee leaves the company?,leave_policy.pdf,leave_policy.pdf|leave_policy.pdf|leave_policy.pdf|employee_handbook.pdf|leave_policy.pdf,1,1.000000,0.800000,1.000000,1.000000
q06,How much can an employee claim for a hotel in a Tier-1 city while travelling for business?,travel_reimbursement_policy.pdf,travel_reimbursement_policy.pdf|learning_development_policy.pdf|travel_reimbursement_policy.pdf|travel_reimbursement_policy.pdf|employee_handbook.pdf,1,1.000000,0.600000,1.000000,1.000000
q07,What is the daily meal reimbursement limit for domestic overnight travel?,travel_reimbursement_policy.pdf,travel_reimbursement_policy.pdf|travel_reimbursement_policy.pdf|learning_development_policy.pdf|travel_reimbursement_policy.pdf|travel_reimbursement_policy.pdf,1,1.000000,0.800000,1.000000,1.000000
q08,At what expense amount does a business traveller need to provide a receipt?,travel_reimbursement_policy.pdf,travel_reimbursement_policy.pdf|employee_handbook.pdf|travel_reimbursement_policy.pdf|travel_reimbursement_policy.pdf|travel_reimbursement_policy.pdf,1,1.000000,0.800000,1.000000,1.000000
q09,How soon after a trip should an employee submit an expense report?,travel_reimbursement_policy.pdf,travel_reimbursement_policy.pdf|leave_policy.pdf|travel_reimbursement_policy.pdf|travel_reimbursement_policy.pdf|leave_policy.pdf,1,1.000000,0.600000,1.000000,1.000000
q10,Can employees connect their personal laptops to sensitive finance systems?,it_security_policy.pdf,it_security_policy.pdf|employee_handbook.pdf|it_security_policy.pdf|it_security_policy.pdf|employee_handbook.pdf,1,1.000000,0.600000,1.000000,1.000000
q11,How quickly must a lost or stolen corporate device be reported?,it_security_policy.pdf,it_security_policy.pdf|it_security_policy.pdf|it_security_policy.pdf|employee_handbook.pdf|travel_reimbursement_policy.pdf,1,1.000000,0.600000,1.000000,1.000000
q12,What authentication controls apply to corporate accounts and finance applications?,it_security_policy.pdf,it_security_policy.pdf|employee_handbook.pdf|it_security_policy.pdf|it_security_policy.pdf|it_security_policy.pdf,1,1.000000,0.800000,1.000000,1.000000
q13,May restricted company information be copied to personal cloud storage or unmanaged USB drives?,it_security_policy.pdf,it_security_policy.pdf|employee_handbook.pdf|employee_handbook.pdf|it_security_policy.pdf|it_security_policy.pdf,1,1.000000,0.600000,1.000000,1.000000
q14,How much can an employee claim for professional courses and certifications each year?,learning_development_policy.pdf,learning_development_policy.pdf|learning_development_policy.pdf|learning_development_policy.pdf|learning_development_policy.pdf|learning_development_policy.pdf,1,1.000000,1.000000,1.000000,1.000000
q15,Under what conditions can a second certification examination attempt be reimbursed?,learning_development_policy.pdf,learning_development_policy.pdf|travel_reimbursement_policy.pdf|learning_development_policy.pdf|learning_development_policy.pdf|learning_development_policy.pdf,1,1.000000,0.800000,1.000000,1.000000
q16,"Which policy pays for conference travel, and which policy covers the registration fee?",travel_reimbursement_policy.pdf|learning_development_policy.pdf,learning_development_policy.pdf|travel_reimbursement_policy.pdf|travel_reimbursement_policy.pdf|travel_reimbursement_policy.pdf|travel_reimbursement_policy.pdf,1,1.000000,1.000000,1.000000,1.000000
q17,Compare reimbursement for a business-trip hotel with accommodation for a training event.,travel_reimbursement_policy.pdf|learning_development_policy.pdf,learning_development_policy.pdf|travel_reimbursement_policy.pdf|travel_reimbursement_policy.pdf|learning_development_policy.pdf|learning_development_policy.pdf,1,1.000000,1.000000,1.000000,1.000000
q18,What are the normal working hours and core collaboration hours?,employee_handbook.pdf,employee_handbook.pdf|learning_development_policy.pdf|employee_handbook.pdf|leave_policy.pdf|employee_handbook.pdf,1,1.000000,0.600000,1.000000,1.000000
q19,How much notice must confirmed and probationary employees give before resigning?,employee_handbook.pdf,employee_handbook.pdf|leave_policy.pdf|employee_handbook.pdf|leave_policy.pdf|leave_policy.pdf,1,1.000000,0.400000,1.000000,1.000000
q20,What technologies and interface components were used for the user-facing part of Chrono Connect?,chrono_connect_report.pdf,chrono_connect_report.pdf|chrono_connect_report.pdf|chrono_connect_report.pdf|chrono_connect_report.pdf|chrono_connect_report.pdf,1,1.000000,1.000000,1.000000,1.000000
